snapped_at,price,market_cap,total_volume
2025-05-13 00:00:00 UTC,0.9963870512876105,99638.70512876105,705.8783743433031
2025-05-14 00:00:00 UTC,0.9963870512876105,99638.70512876105,705.8783743433031
2025-05-15 00:00:00 UTC,0.9981688717762216,99816.88717762216,815.4147155735609
2025-05-16 00:00:00 UTC,0.9986028206821087,99860.28206821087,398.83461474061414
2025-05-17 00:00:00 UTC,1.000227265340423,100069.4875876947,438.49496411507795
2025-05-18 00:00:00 UTC,1.0060913658449007,100609.1364981861,312.0640551278707
2025-05-19 00:00:00 UTC,0.9957428756224106,99574.28430611601,15280.016592313705
2025-05-20 00:00:00 UTC,0.9976787769452026,99769.89181636668,3395.929366084274
2025-05-21 00:00:00 UTC,1.0028500247734233,501425.0123867115,1426.6962440359264
2025-05-22 00:00:00 UTC,1.0052224203977962,502611.210198898,2795.877374507473
2025-05-23 00:00:00 UTC,0.9936511301912428,597622.5954401672,53655.536858962165
2025-05-24 00:00:00 UTC,0.9940973839651835,596407.767139006,130596.1420906188
2025-05-25 00:00:00 UTC,0.9983657095382281,599251.1073120751,114097.14326254666
2025-05-26 00:00:00 UTC,1.0004447619965515,600266.8315532316,82031.36870171361
2025-05-27 00:00:00 UTC,0.9933345243256356,695334.1670279449,80856.88296430178
2025-05-28 00:00:00 UTC,0.9979834548743309,698602.9394949646,89227.03264588474
2025-05-29 00:00:00 UTC,0.9979558030283794,698696.858832514,112985.0402750564
2025-05-30 00:00:00 UTC,0.9948136406315865,795850.9125052692,112335.99704182785
2025-05-31 00:00:00 UTC,1.0008198750351536,800655.9000281224,103659.27577138467
2025-06-01 00:00:00 UTC,0.9981209261820226,898308.8335638203,99815.517609649
2025-06-02 00:00:00 UTC,1.0027680415182108,1002768.04151821,103189.41832327988
2025-06-03 00:00:00 UTC,1.0001220343948556,1000122.034394855,139154.66095282105
2025-06-04 00:00:00 UTC,1.0012040920079377,1001205.619264338,97392.59426699695
2025-06-05 00:00:00 UTC,1.0027219148111677,1002721.914811167,100783.7816150401
2025-06-06 00:00:00 UTC,0.9983749408968027,998380.2892662046,105380.22204829378
2025-06-07 00:00:00 UTC,0.9996382591291992,997083.6593200607,114747.79808356466
2025-06-08 00:00:00 UTC,0.9974200443529654,997420.0357668801,154016.74817776718
2025-06-09 00:00:00 UTC,0.9971058918875041,997105.8879909555,146799.91810547948
2025-06-10 00:00:00 UTC,1.0011401466312235,1001140.146631223,123930.1011621316
2025-06-11 00:00:00 UTC,0.998376182585169,998376.182585169,100495.73077750624
2025-06-12 00:00:00 UTC,0.9992611736731262,999261.1736153672,109338.6153032528
2025-06-13 00:00:00 UTC,0.997830832937213,1097552.6148912932,121081.06393584659
2025-06-14 00:00:00 UTC,0.998469882854004,1098318.7102330148,125127.78033854249
2025-06-15 00:00:00 UTC,0.9972903380277436,1097019.3326665116,145186.76449068377
2025-06-16 00:00:00 UTC,0.9995208736913945,1099472.961060534,120931.3108068977
2025-06-17 00:00:00 UTC,0.995716940043144,1194860.328051773,94575.9040272842
2025-06-18 00:00:00 UTC,1.0039169683488833,1204635.0706595124,99658.00970568988
2025-06-19 00:00:00 UTC,0.9971382854960859,1296279.7711449116,156948.7273215744
2025-06-20 00:00:00 UTC,0.9971438959199727,1296287.0646959646,212586.88576343196
2025-06-21 00:00:00 UTC,0.9995958476289484,1299517.4221271968,138805.5996388038
2025-06-22 00:00:00 UTC,0.9975002504935434,1296347.139689472,127044.19841346037
2025-06-23 00:00:00 UTC,1.00089543357777,1301106.2242932948,114146.06027200285
2025-06-24 00:00:00 UTC,0.9997154609276474,1299655.437081297,125693.6749770024
2025-06-25 00:00:00 UTC,0.9989848431185074,1298595.827583536,113544.24429949676
2025-06-26 00:00:00 UTC,1.000031381242326,1300040.7956150237,102944.1988380508
2025-06-27 00:00:00 UTC,0.9985533649087038,1398074.3698274954,118059.7118232536
2025-06-28 00:00:00 UTC,1.0000023966531197,1400003.3553143665,178317.08948318
2025-06-29 00:00:00 UTC,1.0004117459468678,1400598.2790549833,115651.53645789034
2025-06-30 00:00:00 UTC,1.0008526145821486,1501278.921873222,96828.9011199283
2025-07-01 00:00:00 UTC,0.9990316264166924,1598401.4469677508,281554.72384960693
2025-07-02 00:00:00 UTC,1.002686144239375,1704566.3967838248,108121.58221192432
2025-07-03 00:00:00 UTC,1.0005184701899459,1700881.4152087367,121679.92908338326
2025-07-04 00:00:00 UTC,1.0012171437941202,1702078.594202818,157642.05413877987
2025-07-05 00:00:00 UTC,1.0014362954441198,1702619.59517086,196307.6373528315
2025-07-06 00:00:00 UTC,1.0002462880077918,1700421.019389378,199893.3703308452
2025-07-07 00:00:00 UTC,0.9993239139433342,1698485.1706556727,223024.51889649293
2025-07-08 00:00:00 UTC,1.0000754281514401,1800126.3588936336,237242.16603851644
2025-07-09 00:00:00 UTC,1.001082122579511,1902391.5040206008,235221.26743973268
2025-07-10 00:00:00 UTC,0.9988956181659484,1898108.333336027,165286.6409671466
2025-07-11 00:00:00 UTC,1.0005610894830341,2001096.38469957,112598.20698734607
2025-07-12 00:00:00 UTC,1.0007719217381414,2001543.843476282,1863118.3027789996
2025-07-13 00:00:00 UTC,1.000804164624326,2001608.329248652,1881168.1234365536
2025-07-14 00:00:00 UTC,1.0007839894984225,2001566.12898596,1752784.3064467122
2025-07-15 00:00:00 UTC,0.9999515517298345,1999908.8408163504,2786878.467199508
2025-07-16 00:00:00 UTC,0.999734899028488,2099533.6464010812,2843685.4268135126
2025-07-17 00:00:00 UTC,1.0004208086086905,2300970.0984709035,3497928.0996060884
2025-07-18 00:00:00 UTC,1.0005350640832553,2301230.6473914864,5019693.169402557
2025-07-19 00:00:00 UTC,1.000437300647782,2301005.7914898987,10141097.189788403
2025-07-20 00:00:00 UTC,1.000347707431635,2300778.9085787563,3835188.375898232
2025-07-21 00:00:00 UTC,1.000303047812583,2300714.697588922,5124004.795032202
2025-07-22 00:00:00 UTC,1.0004067180919114,2400974.547093814,3557732.870866746
2025-07-23 00:00:00 UTC,1.0003174553312435,2400761.892794983,4488127.098673891
2025-07-24 00:00:00 UTC,1.0003812711286217,2400916.923811178,5304018.499621504
2025-07-25 00:00:00 UTC,1.000292173488724,2500731.714826685,2945061.3917537862
2025-07-26 00:00:00 UTC,1.0000172255515967,2500052.566752475,3914586.8699083226
